flight_id,window_id,window_start,window_end,time,elapsed_seconds,battery_status__voltage_v,battery_status__current_a,battery_status__remaining,system_power__voltage5V_v,vehicle_gps_position__eph,vehicle_gps_position__epv,vehicle_gps_position__jamming_indicator,vehicle_gps_position__vel_m_s,vehicle_gps_position__satellites_used,vehicle_local_position__x,vehicle_local_position__y,vehicle_local_position__z,vehicle_local_position__vz,vehicle_local_position__xy_valid,vehicle_attitude__rollspeed,vehicle_attitude__pitchspeed,vehicle_attitude__yawspeed,vehicle_attitude_setpoint__roll_body,vehicle_attitude_setpoint__pitch_body,vehicle_attitude_setpoint__thrust,sensor_combined__gyro_rad_0,sensor_combined__gyro_rad_1,sensor_combined__gyro_rad_2,sensor_combined__accelerometer_m_s2_0,sensor_combined__accelerometer_m_s2_1,sensor_combined__accelerometer_m_s2_2,sensor_baro__pressure,sensor_baro__altitude,estimator_status__vel_test_ratio,estimator_status__pos_test_ratio,estimator_status__hgt_test_ratio,estimator_status__innovation_check_flags,ekf2_innovations__vel_pos_innov_0,ekf2_innovations__vel_pos_innov_1,ekf2_innovations__vel_pos_innov_2,ekf2_innovations__vel_pos_innov_3,ekf2_innovations__vel_pos_innov_4,ekf2_innovations__vel_pos_innov_5,actuator_controls_0__control_0,actuator_controls_0__control_1,actuator_controls_0__control_2,actuator_controls_0__control_3,actuator_outputs__output_0,actuator_outputs__output_1,actuator_outputs__output_2,actuator_outputs__output_3,cpuload__load,cpuload__ram_usage
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:000,3,24.54843,0,0.9048142,5.240039,12.258,17.759,5,0.47100002,9,-0.0964902,-0.078543276,-0.03754957,-0.001810481,1,0.001268358,-0.000492674,-0.03538506,-0.032306492,0.05275421,0,0.00034674,0.000612721,-0.001657135,0.1291704,-0.07330502,-9.7907,1004.25995,75.1042,0,0.001246596,0.07231206,64,0,0,0,0.000131324,0.000346825,-0.037904568,-0.021809772,0.015564389,0.005406424,0,1075,1075,1075,1075,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:100,3.1,24.54843,0,0.9048142,5.240039,12.262001,17.768002,5,0.067,9,-0.096465796,-0.07868021,-0.03948446,-0.004365563,1,-0.000339363,-0.00080284,-0.034361858,-0.032306477,0.05275421,0,-0.000410195,0.00114371,-0.001957386,0.13591926,-0.073773555,-9.806137,1004.32996,74.5173,0,0.000718696,0.084015466,64,0,0,0,-1.25E-05,0.000197865,0.044078916,-0.022208964,0.015373371,0.007710973,0,1075,1075,1075,1075,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:200,3.2,24.54843,0,0.9048142,5.240039,12.262001,17.768002,5,0.067,9,-0.09647878,-0.0788031,-0.040706396,-0.00623385,1,0.001173461,-0.002081672,-0.033670876,-0.032306474,0.05275421,0,0.000477794,0.00178425,-0.000804659,0.15302868,-0.09107603,-9.775212,1004.27997,74.936516,0,0.000718696,0.084015466,64,0,0,0,-1.25E-05,0.000197865,0.044078916,-0.021897566,0.01490734,0.006198373,0,1075,1075,1075,1075,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:300,3.3,24.489912,0,0.90537035,5.2271485,12.27,17.786001,5,0.588,9,-0.096466005,-0.078873046,-0.03921211,-0.005080791,1,0.001240544,-0.001864901,-0.035156153,-0.032306474,0.05275421,0,-0.001032005,0.000721383,-0.0015119,0.12804635,-0.064150386,-9.813929,1004.25,75.18804,0,0.000718696,0.07589113,64,0,0,0,-1.25E-05,0.000197865,-0.03977833,-0.0216899,0.015141686,0.004936875,0,1075,1075,1075,1075,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:400,3.4,24.489912,0,0.90537035,5.2271485,12.27,17.786001,5,0.588,9,-0.09650571,-0.078895815,-0.038839795,-0.005364927,1,-0.000127804,-0.001438513,-0.03460261,-0.032306474,0.05275421,0,0.000120414,0.002104424,-0.002179624,0.13559347,-0.06173217,-9.835058,1004.24,75.27189,0,0.000718696,0.07589113,64,0,0,0,-1.25E-05,0.000197865,-0.03977833,-0.0224061,0.014662251,0.008578443,0.039418552,1123,1094,1077,1101,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:500,3.5,24.489912,0,0.90537035,5.2271485,12.281,17.805,5,0.596,9,-0.09661823,-0.078884155,-0.039795507,-0.005841588,1,0.000973581,-0.002936244,-0.033274766,-0.032306474,0.05275421,0.045972887,0.001228758,0.000506621,-0.000617367,0.100456335,-0.054146346,-9.792727,1004.29,74.85267,0,0.000718696,0.01723299,64,0,0,0,-1.25E-05,0.000197865,0.009034645,-0.022044584,0.015688885,0.007168554,0.04958993,1145,1108,1100,1116,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:600,3.6,24.489912,0,0.90537035,5.2271485,12.281,17.805,5,0.596,9,-0.09679563,-0.07890669,-0.04150154,-0.006654674,1,-0.000653233,4.53E-05,-0.03429984,-0.032306474,0.05275421,0.049498975,-0.001246881,0.001573824,-0.001505409,0.13585664,-0.079054326,-9.790895,1004.32996,74.5173,0,0.000718696,0.01723299,64,0,0,0,-1.25E-05,0.000197865,0.009034645,-0.02229529,0.015957816,0.00258209,0.10138238,1174,1135,1126,1142,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:700,3.7,24.489912,0,0.90537035,5.2271485,12.286,17.813002,5,1.01,9,-0.0970217,-0.07896788,-0.046683,-0.011460933,1,0.003562952,-0.008686225,-0.03224851,-0.032306474,0.05275421,0.11164795,-0.00774905,0.002469864,0.002904413,-0.25297853,-0.025058422,-9.95447,1004.27997,74.936516,0,8.19E-05,0.083941184,64,0,0,0,-2.28E-05,-1.67E-05,0.044049762,-0.019698743,0.013491388,0.009370848,0.11521027,1209,1162,1155,1173,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:800,3.8,24.402134,0.1736,0.91326684,5.215869,12.286,17.813002,5,1.01,9,-0.09720124,-0.078992434,-0.052769788,-0.015922448,1,0.002986672,-0.00746036,-0.041518785,-0.032306474,0.05275421,0.12513754,0.002157132,0.010720165,-0.003850976,0.04817417,0.067410745,-10.122547,1004.20996,75.52343,0,8.19E-05,0.083941184,64,0,0,0,-2.28E-05,-1.67E-05,0.044049762,-0.025294587,0.016030142,0.008846487,0.17715622,1244,1229,1207,1227,0.815484,0.9636475
18_57_00,0,00:00:00:000,00:00:10:000,00:00:03:900,3.9,24.402134,0.1736,0.91326684,5.215869,12.292001,17.828001,5,1.121,9,-0.09720124,-0.078992434,-0.052769788,-0.015922448,1,0.000620028,-0.011433869,-0.013100147,-0.032306474,0.05275421,0.1757671,0.012528136,0.005823959,0.007899595,0.34792128,-0.63027346,-9.998856,1004.31,74.68499,0,0.000469098,0.016643703,64,0,0,0,-9.66E-05,-0.000129096,-0.008724585,-0.020590816,0.019943168,-0.000547904,0.17485917,1243,1227,1199,1239,0.8214,0.9637834
